Symbol,Company,Suspended,Delisted,Close Price,Issued Shares,Net Income,Shareholders Equity,Market Cap,Market Cap %,EPS,P/E Ratio,Book Value,P/B Ratio
3020,YC,False,False,23.42,202.5,485.18,5033.96,4742.55,0.05,2.396,9.774,24.85,0.94
3030,SAUDI CEMENT,False,False,28.76,153.0,361.9,2146.7,4400.28,0.05,2.365,12.158,14.03,2.04
3040,QACCO,False,False,45.02,110.559,230.75,2602.65,4977.37,0.05,2.087,21.57,23.54,1.91
3050,SPCC,False,False,19.47,140.0,-71.0,3051.0,2725.8,0.03,-0.507,,21.79,0.89
3060,YCC,False,False,14.96,157.5,121.74,2463.04,2356.2,0.02,0.773,19.354,15.63,0.95
3080,EPCCO,False,False,25.46,86.0,218.0,2460.0,2189.56,0.02,2.535,10.043,28.6,0.89
3090,TCC,False,False,7.35,90.0,14.73,1128.87,661.5,0.01,0.164,44.908,12.54,0.58
3091,JOUF CEMENT,False,False,5.02,108.7,-213.92,864.11,545.67,0.01,-1.968,,7.94,0.63
3092,RIYADH CEMENT,False,False,23.2,120.0,184.75,1758.0,2784.0,0.03,1.54,15.069,14.65,1.58
4143,TALCO,False,False,35.64,40.0,92.55,507.85,1425.6,0.01,2.314,15.403,12.69,2.8
1212,ASTRA INDUSTRIAL,False,False,139.3,80.0,685.22,3081.03,11144.0,0.12,8.565,16.263,38.51,3.61
1214,SHAKER,False,False,11.96,67.71,64.24,882.77,809.81,0.01,0.949,12.606,13.03,0.91
1302,BAWAN,False,False,35.14,60.0,171.51,1162.29,2108.4,0.02,2.859,12.293,19.37,1.81
1303,EIC,False,False,15.38,1125.0,772.08,1280.5,17302.5,0.18,0.686,22.41,1.13,13.51
2040,SAUDI CERAMICS,False,False,25.96,100.0,89.71,1545.78,2596.0,0.03,0.897,28.937,15.45,1.67
2110,SAUDI CABLE,False,False,179.2,6.672,,,1195.62,0.01,,,,
2160,AMIANTIT,False,False,13.09,44.55,-191.44,724.95,583.16,0.01,-4.297,,16.27,0.8
2320,ALBABTAIN,False,False,59.85,63.946,562.0,1572.9,3827.17,0.04,8.789,6.809,24.59,2.43
2370,MESC,False,False,31.0,40.0,117.43,565.9,1240.0,0.01,2.936,10.559,14.14,2.19
4110,BATIC,False,False,2.04,600.0,27.58,435.07,1224.0,0.01,0.046,44.379,0.72,2.81
4140,SIECO,False,False,2.31,194.4,-20.72,98.13,449.06,,-0.107,,0.5,4.57
4141,ALOMRAN,False,False,20.23,12.0,-15.61,140.26,242.76,,-1.301,,11.68,1.73
4142,RIYADH CABLES,False,False,108.5,150.0,1133.8,3471.03,16275.0,0.17,7.559,14.354,23.14,4.68
4144,RAOOM,False,False,74.0,12.5,-13.25,131.01,925.0,0.01,-1.06,,10.48,7.06
4145,OGC,False,False,24.49,32.0,68.33,596.48,783.68,0.01,2.135,11.469,18.64,1.31
4146,GAS,False,False,16.0,158.0,161.58,516.27,2528.0,0.03,1.023,15.645,3.26,4.89
4147,CGS,False,False,6.76,100.0,45.87,207.29,676.0,0.01,0.459,14.737,2.07,3.26
4148,ALWASAIL INDUSTRIAL,False,False,3.32,250.0,30.15,377.54,830.0,0.01,0.121,27.529,1.51,2.19
1831,MAHARAH,False,False,4.7,600.0,316.23,952.57,2820.0,0.03,0.527,8.917,1.58,2.96
1832,SADR,False,False,2.56,175.0,9.23,170.29,448.0,,0.053,48.537,0.97,2.63
1833,ALMAWARID,False,False,104.5,20.0,178.35,588.39,2090.0,0.02,8.918,11.718,29.41,3.55
1834,SMASCO,False,False,5.9,400.0,173.82,670.41,2360.0,0.02,0.435,13.577,1.67,3.52
1835,TAMKEEN,False,False,47.38,26.5,96.9,375.62,1255.57,0.01,3.657,12.957,14.17,3.34
4270,SPPC,False,False,8.49,65.207,-229.31,37.17,553.61,0.01,-3.517,,0.57,14.89
6004,CATRION,False,False,72.6,82.0,301.43,1607.88,5953.2,0.06,3.676,19.749,19.6,3.7
2190,SISCO HOLDING,False,False,38.74,81.6,136.8,1521.0,3161.18,0.03,1.676,23.108,18.63,2.07
4031,SGS,False,False,27.1,188.0,211.58,2594.46,5094.8,0.05,1.125,24.079,13.8,1.96
4040,SAPTCO,False,False,11.4,125.0,124.35,1047.91,1425.0,0.01,0.995,11.459,8.38,1.35
4260,BUDGET SAUDI,False,False,32.16,104.542,305.21,2991.69,3362.07,0.03,2.919,11.015,28.61,1.12
4261,THEEB,False,False,20.95,65.971,138.02,947.51,1382.09,0.01,2.092,10.013,14.36,1.45
4262,LUMI,False,False,28.54,55.0,141.58,1458.66,1569.7,0.02,2.574,11.087,26.52,1.07
4263,SAL,False,False,168.8,80.0,730.55,1701.39,13504.0,0.14,9.132,18.484,21.26,7.93
4264,FLYNAS,False,False,49.6,170.851,64.96,3439.37,8474.21,0.09,0.38,130.452,20.13,2.46
4265,CHERRY,False,False,25.06,30.0,73.66,604.87,751.8,0.01,2.455,10.206,20.16,1.24
1213,NASEEJ,False,False,25.0,10.897,,,272.43,,,,,
2130,SIDC,False,False,16.13,30.0,-96.01,116.61,483.9,0.01,-3.2,,3.88,4.14
2340,ARTEX,False,False,11.41,81.25,10.21,1069.85,927.06,0.01,0.126,90.799,13.16,0.86
4011,LAZURDE,False,False,10.75,57.5,-31.3,241.0,618.13,0.01,-0.544,,4.19,2.56
4012,ALASEEL,False,False,3.5,400.0,109.6,654.03,1400.0,0.01,0.274,12.773,1.63,2.14
4180,FITAIHI GROUP,False,False,2.5,275.0,0.82,468.17,687.5,0.01,0.003,838.414,1.7,1.46
1810,SEERA,False,False,21.41,274.048,144.0,5882.0,5867.37,0.06,0.525,40.745,21.46,0.99
1820,BAAN,False,False,2.19,619.966,-131.92,874.86,1357.73,0.01,-0.213,,1.41,1.55
1830,LEEJAM SPORTS,False,False,80.65,52.383,271.0,1121.0,4224.69,0.04,5.173,15.589,21.4,3.76
4170,TECO,False,False,14.66,57.823,-14.98,478.71,847.69,0.01,-0.259,,8.27,1.77
4290,ALKHALEEJ TRNG,False,False,14.83,65.0,18.56,524.87,963.95,0.01,0.286,51.936,8.07,1.83
4291,NCLE,False,False,140.1,43.0,173.93,921.19,6024.3,0.06,4.045,34.636,21.42,6.53
4292,ATAA,False,False,44.52,42.087,91.79,821.44,1873.71,0.02,2.181,20.413,19.51,2.28
6002,HERFY FOODS,False,False,15.67,64.68,-60.73,848.28,1013.54,0.01,-0.939,,13.11,1.19
6012,RAYDAN,False,False,17.34,7.313,,,126.81,,,,,
6013,DWF,False,False,91.7,3.0,-9.63,15.31,275.1,,-3.21,,5.1,17.96
6014,ALAMAR,False,False,42.2,25.5,50.75,286.68,1076.1,0.01,1.99,21.203,11.24,3.75
